2789,白菜漬け,35,2,0.25,8,107.5,0.75
2276,なすとズッキーニのマリネ,47.18,2.5,0.21,10.61,46.14,0.79
8519,ブロッコリー,33,4.3,0.5,5.2,38,1
2969,ブロッコリー,33,4.3,0.5,5.2,38,1
8525,ブロッコリーのチーズあえ,33,4.3,0.5,5.2,38,1
4448,ピクルス,55.95,4.35,0.18,11.78,42.6,0.87
5149,ブロッコリー,26.4,3.44,0.4,4.16,30.4,0.8
84,ホームメイドピクルス,60.9,4.95,0.25,12.71,58.95,1.06
7226,なすの含め煮,38.2,1.97,0.18,8.82,38,0.53
1555,ほうれん草とはんぺんのお吸いもの,36.88,3.88,0.48,4.88,29.32,1.14
2014,緑黄色たっぷりトマト炒め,47.46,1.74,0.21,11.41,43.84,0.48
888,中国風野菜サラダ,60.49,2.36,0.41,12.76,28.41,0.57
6489,夏野菜のピクルス,31.6,1.63,0.21,6.9,48,0.38
3053,中国風ホットサラダ,60.12,2.15,0.27,14.29,47.25,0.63
6340,えびとオクラのカレースープ,46,1.63,0.16,10.78,48.6,0.35
2310,なす,35.2,1.76,0.16,8.16,28.8,0.48
4627,キャベツスープ,44.71,1.5,0.29,10.11,31.85,0.28
5305,キャベツときゅうりのあっさり漬け,25.15,1.51,0.21,5.6,45.61,0.38
2240,きなこみつ豆,70.44,4.35,0.46,12.09,13.34,1.01
7079,春雨とひじきの中華スープ,37.35,2.63,0.16,6.61,24.62,1.14
